,Select City,
ZVJ17,Lankasagar,
LTR,Lattur,
ZVJ67,Latur,
LEH,Leh,
LMB,Limbadi,
ZUR9,Limda,
ZVI4,Lingapalem,
LGS,Lingasugar,
LON,Lonavala,
LK,Lucknow,
ZUT6,Ludhiana,
ZVK04,Ludhiana Punjab,
LD,Ludiana,
ZUI2,Luhari,
LKH,Lukhisarai,
MAC,Machilipatnam,
MCH,Machiwara,
MAD,Madanapalle,
ZVJ36,Maddilapalem,
MHR,Madhapur,
ZUJ3,Madhupani,
ZUZ8,Madhya Pradesh,
MDG,Madikeri,
MDU,Madurai,
MTM,Madurantakam ,
MAH,Mahabalipuram,
MHBD,Mahaboobabad,
MHB,Mahabubabad,
MBN,Mahabubnagar,
MHD,Mahad,
MRJ,Maharajganj,
ZUW2,Maharashtra,
CHD,Maharastra,
ZUT7,Mahboobnagar,
MBB,Mahboobnaghar,
MHE,Mahe,
MGH,Mahendergarh,
MHJ,Mahesana,
MNI,Mainpuri,
MKR,Makrana,
MAP,Malapuram,
MLN,Malavya Nagar,
MAL,Malda,
MAE,Malegoan,
MAK,Maler Kotla,
ZUJ69,Malkangiri,
ZUS5,Malkapur,
MLR,Malur,
ZUJ7,Managalli,
MHY,Mananthavady,
MPI,Manapparai,
MCL,Mancherial,
MDI,Mandi,
MDH,Mandi Ahamadgarh,
MND,Mandideep,
MDA,Mandla,
MDR,Mandsaur,
MD,Mandvi,
MDY,Mandya,
MNS,Manesar,
MNG,Mangalore,
ZUT9,Mango,
MAO,Mangrol,
MMJ,Manimajura,
MPL,Manipal,
MPR,Manipur,
ZVJ75,Manisquare,
ZVJ55,Manjalpur,
MNJ,Manjeri,
MNR,Mannar,
MRK,Mannarkkad,
MNK,Mannarkudi,
MAN,Mansa,
MNA,Mansa1,
MRG,Maraimalai  Nagar,
ZVJ81,Margao,
MAR,Margoa,
MAM,Marthandam,
MAU,Marudur,
MAS,Masimpur,
MRU,Matheru,
MAT,Mathura,
MUA,Mau,
MAV,Mavelikara,
MAY,Mayiladudurai,
MNB,Mayurbhanj,
ZUM6,Medak,
MDD,Medak Dist,
ZUI3,Medchal,
ZVJ15,Medchal Manda,
MRT,Meerut,
MEG,Meghalaya,
MEH,Mehboobnagar,
MHS,Mehsana,
MPY,Metpally,
MET,Mettupalayam,
METT,Mettur,
MWT,Mewat,
MOW,Mhow,
MID,Midnapur,
MIR,Miraj,
MRZ,Mirzapur,
MIS,Missamari,
MIZ,Mizoram,
MOD,Modasa,
ZUR6,Modipuram,
MOG,Moga,
MOH,Mohali,
MHL,Mohali1,
ZVJ57,Mohamedwadi,
MOI,Mohindergarh,
MOR,Moradabad,
1,Morasapatti,
MBI,Morbi,
MRE,Morena,
MGN,Morigaon,
MRD,Morinda,
MOT,Motihari,
ZVJ76,Mowa Rajpur,
MDB,Muddebihal,
ZUM2,Mudhol,
MUK,Muktsar,
MUL,Mulbagal,
MUT,Multai,
MLW,Mulund West,
MUM,Mumbai,
SUM,Mumbai Suburban,
MDK,Mundakayam,
MGI,Mundargi,
MGR,Munger,
MUG,Munger  ,
ZUP4,Murbad,
MUR,Murhsidabad,
MUS,Mussoorie,
ZVH8,Musunuru,
MDP,Muthupet,
MUV,Muvattupuzha,
MUZ,Muzafarpur,
MUN,Muzaffar Nagar,
MYS,Mysore,
ZUZ6,Mysuru,
NPR,N.Paravur,
NAB,Nabha,
NTH,Nadathara,
NAD,Nadaun,
NDI,Nadia,
NDD,Nadiad,
NAG,Nagaland,
ZUM8,Nagalapuram,
NAO,Nagaon,
NPT,Nagapattinam,
NGO,Nagarkurnool,
NGR,Nagaur,
NG,Nagercoil,
NGP,Nagpur,
NTA,Nagrota,
NAGW,Nagwara,
NAH,Nahan,
NGN,Naharlagun,
NAI,Nainital,
NBR,Nalbar,
NGA,Nalgonda,
NAM,Namakkal,
NAN,Nanded,
NDR,Nandurbar,
NDY,Nandyal,
NGL,Nangal,
NAA,Nangavalli,
ZUT4,Nanguneri,
ZUT5,Nangureri,
NAP,Narasaraopet,
NAR,Narasingpur,
ZUN5,Nargund,
NMD,Narmada,
NAL,Narnaul,
ZVJ08,Narol Ahmedabad,
NLY,Naroli,
NRW,Narwal,
NRL,Narwana,
NAS,Nashik,
NASI,Nasirabad,
NAT,Nathdwara,
NAU,Naukuchiatal,
NLU,Navalur,
NA,Navi Mumbai,
ZVJ89,Navi Peth,
NAV,Navsari,
NAW,Nawadah,
NAC,Nawalgarh,
NWH,Nawasahar,
NYA,Naya Nangal,
NGH,Nayagarh,
NED,Nedumangad,
NDA,Needamangalam,
NMG,Neelamangalam,
NEE,Neemuch,
NEL,Nellore,
ZVF6,Neriamangalam,
NER,Nerul,
NDB,New Delhi,
NV,Neyveli,
NAY,Neyyattinkara,
NEY,Neyyur,
NIL,Nilambur,
NIG,Nilgris,
NIU,Nimu,
NPN,Nippani,
NIM,Nirmal,
ZVJ70,Nishant Vyas,
NZD,Nizamabad,
NND,Nnd,
NOG,Nogli,
NO,Noida,
ZVK07,Noida West,
ZVJ18,North Delhi,
NGG,Nowgang,
ZVJ45,Nungambakkam,
ZVK17,Nuziveedu,
ZVI7,Nuzivid,
NUZ,Nuzvid,
ZUV0,Odisha,
ONG,Ongole,
OTY,Ooty,
ZUO7,Oragadam,
ORI,Orai,
ZUL5,Orangadam,
ORS,Orissa,
OSM,Osmanabad,
OTT,Ottanchathiran,
OTA,Ottappalam,
PAK,Pakala,
PKM,Pakkam,
PKU,Pakumpare,
PLA,Pala,
PAD,Palakkad,
PAM,Palamau,
PAR,Palampur,
PAL,Palani,
PAA,Palanpur,
PLR1,Palari,
PALG,Palghar,
PLG,Palghat,
PLI,Pali,
PKI,Paliakara,
PLD,Palladam,
ZUI5,Pallipalayam,
ZUM9,Pallippuram,
PLN,Palna,
PAW,Palwal,
ZVJ47,Panaji,
PAC,Panchkula,
ZVA7,Panchmahal,
PCH,Panchmahals,
PAN,Pandalam,
PRD,Pandarpur,
ZVJ74,Pandri Raipur,
PDR,Pandura,
PNI,Panipat,
ZVJ73,Panjim,
PAJ,Panjim - Panaji,
PRT,Panruti,
PTRY,Panruty,
PANGR,Pantnagar,
PVL,Panvel,
POS,Paonta Sahib,
PAP,Papumpare,
PEP,Paradeep,
PMK,Paramakudi,
PGI,Parappanangadi,
PVR,Paravur,
PRB,Parbhani,
PGN,Parganas,
ZVJ56,Pari Chowk,
PLY,Paripally,
ZUK2,Parmanandpur,
PAO,Parwanoo,
PTG,Patalganga,
PTN,Patan,
PTC,Patancheru,
ZVJ33,Patel Nagar,
ZUQ3,Patencheru,
PAT,Pathanamthitta,
PUH,Pathanapuram,
PAH,Pathankot,
PAI,Patiala,
PTU,Patlikuhl,
PT,Patna,
PRL,Patratoli,
PMB,Pattambi,
ZVJ86,Pattandur Agrahara,
PATT,Pattanur,
PTI,Patti,
ZVF1,Pattimattom,
PKT,Pattukottai,
PDI,Paudi,
PAV,Pavoor Chatram,
PYR,Payyanur,
ZUQ6,Pedapariya,
ZVH9,Pedavegi,
PDA,Peddapuram,
PHO,Pehowa,
ZUO6,Penugonda,
PBR,Perambalur,
PRI,Perinthalmanna,
PER,Periyakulam,
ZUR5,Perumbara,
PUM,Perumbavoor,
PED,Perundurai,
PGA,Phagwara,
PHD,Phaloudi,
PHA,Phaltan,
PHU,Phulbani,
PIL,Pilibhit,
PIK,Pilkhuwa,
PII,Pillani,
PPY,Pipariya,
PIP,Pipli,
PID,Piplod,
PIR,Piravom,
ZVC6,Pitampura,
PIT,Pithampur,
ZUX5,Pithampura,
PTH,Pithoragarh,
POL,Pollachi,
PON,Ponda,
PY,Pondicherry,
POK,Ponkunnam,
PNN,Ponnamaravathi,
POA,Ponnani,
PNR,Ponneri,
PONN,Ponneri.,
2,Poolampatti,
POKI,Poranki,
POR,Porbandhar,
PB,Portblair,
ZVI99,Porumamilla,
ZVJ97,Post-Nanded,
POW,Powaya,
ZVJ10,Prakasam,
PDT,Prakasam Dist.,
ZVE6,Pratap Nagar,
PRA,Pratapgarh,
PYP,Priyapatna,
PRO,Proddatur,
PDY,Puducherry,
PUD,Pudukkottai,
PDL,Pulivendual,
PUL,Punalur,
PUJ,Punchkula,
PUN,Pune,
ZUW0,Punjab,
PTR,Punruti,
PUI,Puri,
PUR,Purnea,
PUA,Purulia,
PUS,Pusad,
PUT,Puttur,
QUI,Quilon,
QUT,Qutubullapur,
RBL,Rabale,
RACC,Rachagunneri,
RBI,Raebareli,
RHR,Rahuri,
ZVJ92,Rai Sonipet,
RAI,Raichur,
RID,Raigad,
RGJ,Raiganj,
RIG,Raigarh,
RKT,Raikot,
RP,Raipur,
RPR,Raipur(Mh),
RES,Raisen,
ZVI90,Rajaghatta,
RUM,Rajahmuntry,
RJN,Rajaji Nagar,
ZUK5,Rajannasiricilla,
RPY,Rajapalayam,
RAS,Rajasamand,
RAH,Rajasthan,
ZVK15,Rajavaram,
RJG,Rajgarh,
RAK,Rajkot,
RNN,Rajnandgaon,
RAO,Rajouri,
RAJ,Rajpura,
ZUI6,Ramagundam,
RMP,Ramanathapuram,
RMG,Ramgarh,
RAMN,Ramnagar,
RNA,Ramnagaram,
RAM,Rampur,
RAP,Ramput,
RGT,Ranaghat,
RAC,Ranchi,
REB,Ranebenur,
RAR,Ranga Reddy,
ZVE3,Rangareddy,
RGA,Rangia,
RPT,Ranipet,
RAG,Ranjangoan,
RAN,Ranni,
ZUY0,Rapuram,
RASI,Rasi Puram,
ZUM4,Rasipuram,
RAT,Rathpur,
RTL,Ratlam,
RTG,Ratnagiri,
ZVA8,Rawatpur,
ZUW4,Rawtpur,
RAY,Rayagada,
RZL,Razole,
ZUO9,Reasi,
REI,Reinwal,
REN,Renigunta,
REU,Renukoot,
REW,Rewa,
RRI,Rewari,
RIS,Rishikesh,
ROH,Rohini,
ROT,Rohtak,
ROS,Rohtas,
ROK,Roorkee,
ROP,Ropar,
ROU,Rourkela,
RUD,Rudrapur,
ZUW8,Rudrapur.,
ZUW9,Rudrapur..,
ZVJ51,Rupnagar,
RUP,Rupnarayanpur,
SBR,Sabarkantha,
SAC,Sachin,
SAG,Sagar,
SRA,Sagar  ,
SAGK,Sagar (Kar),
ZUO4,Sagara,
SPR,Saharanpur,
SAS,Saharsa,
SAB,Sahibabad,
SAH,Sahpur,
SET,Saidapet,
ZUM3,Salcete,
SLM,Salem,
ZVB7,Salon,
SAMA,Samaghogha,
SNA,Samana,
ZUV8,Samba,
SMP,Sampalpur,
ZUJ2,Samraj Nagar,
SRM,Samrala,
ZUZ1,Sanand,
SGA,Sangagiri,
SGE,Sangamner,
ZUJ66,Sangareddy,
ZVC1,Sanghavi,
SGI,Sangli,
SNG,Sangrur,
SKK,Sankarankoil,
SAN,Sankarapuram,
ZVJ50,Santacruz East Mumbai,
SNP,Santhapada,
SAI,Sarai,
SKA,Saraikela,
SAR,Sardarsahar,
SARGM,Sarigam,
SAM,Sasaram,
SAT,Satara,
ZVI80,Sathupalli,
ZVK22,Sathy,
STY,Sathyamangalam,
STA,Satna,
ZVK05,Satna(Mp),
ZVJ59,Saudagar,
ZVH7,Saunshi,
SVA,Savarakundla,
SMD,Sawaimadhopur,
SWA,Sawantwadi,
SYL,Sayalkudi,
SBD,Secunderabad,
SEH,Sehore,
ZVJ54,Selu,
SEK,Sembarambakkam,
SEB,Senbanarkoil,
SW,Sendhwa,
SE,Seoni,
SPA,Seppa,
SRE,Serampore,
SEV,Sevaliya,
SHA,Shadol,
SHAHA,Shahapur,
SAP,Shahpur,
SJH,Shajahanpur,
SJP,Shajapur,
SR,Shakarpur,
SLI,Shamli,
SHS,Shamshi,
SHG,Shegaon,
SHE,Sheikhpura,
STH,Shencottah,
SHU,Sheopur,
SLG,Shillong,
SHM,Shimla,
SHI,Shimoga,
SHL,Shiralkoppa,
SHD,Shirdi,
SHN,Shirgaon,
SIRUR,Shirur,
ZUK8,Shiur Bangla,
ZUP2,Shivamogga,
SHV,Shivare,
SHP,Shivpuri,
SHOL,Sholinghur,
SHOG,Sholinghur.,
ZUN9,Shoolagiri,
SHO,Shoranur,
SEI,Shringeri,
SHR,Shrirampur,
ZUU3,Shrirampur Nagar,
ZVJ63,Shukrawar Peth,
SHY,Shyam Nagar,
SGG,Siang,
SIB,Sibsagar,
SDP,Siddappur,
ZVK11,Siddepet,
SIP,Siddhapur,
SID,Siddipet,
SDI,Sidhi,
ZVJ20,Siiddipet,
SKR,Sikar,
SI,Sikkim,
SIA,Silichar,
SILI,Siligiri,
SIL,Siliguri,
SL,Silvasa,
SILV,Silvassa,
SLA,Silvassa .,
SLV,Silvassa.,
SDA,Simdega,
SIM,Simla,
SML,Simlaguri,
SIN,Sindagi,
SNR,Sindhanur,
SDG,Sindhudurg,
SGR,Singrauli,
ZUM0,Sira,
SIH,Sirhind,
SZI,Sirkazhi,
SMO,Sirmour,
SOH,Sirohi,
SIS,Sirsa,
ZUY3,Sirsa.,
SIR,Sirsi,
SIT,Sitapur,
ZVI98,Sivaganga,
SIG,Sivagangai,
SIK,Sivakasi,
SIV,Sivasagar,
ZVJ77,Snehalata Ganj,
SOJ,Sojat,
SOL,Solan,
SP,Solapur,
SMW,Someswaram,
SON,Sonapur,
SPT,Sonipat,
ZVJ43,Sonipet,
STP,Sonitpur,
ZVJ11,South Delhi,
SGO,South Goa,
ZVI85,South West Delhi,
SGN,Sri Ganganagar,
SRC,Sricity Dtz,
SRK,Srikakulam,
SHK,Srikarikota,
SRG,Srinagar,
SRP,Sriperumbudur,
SREE,Srivalliputhar,
SRI,Sriyakulam,
SRU,Srungavruksham,
SBI,Subansiri,
ZUO3,Subramanya,
ZVJ65,Sugatur,
SUI,Sullia,
SUL,Sultanpur,
ZVH6,Sulthan Bathery,
SUB,Sulthanbathery,
SULL,Sulurpet,
SUN,Sunam,
SUD,Sundernagar,
ZVC5,Supa,
SRJ,Surajpur,
SRT,Surat,
SUG,Suratgarh,
SDR,Surendernagar,
ZUY4,Surendrangar,
SUR,Suri,
SUP,Suryapet,
ZUU2,T,
ZVI95,Tadepalligudem,
TAD,Tadipatri,
ZVJ68,Tal.Malegaon,
TAL,Talayolaparambu,
TAC,Talcher,
ZVG3,Taliparamba,
ZUL6,Taloja,
TWA,Talwara,
CDLR,Tamil Nadu,
TVU,Tamilnadu,
ZUN8,Tandur,
TAN,Tanjore,
TKU,Tanuku,
ZUJ63,Tapi,
TAP,Tapukara,
TRT,Tarantaran,
ZUW5,Tarapur,
TRE,Tarikere,
TAR,Tarsali,
TAS,Tasgaon,
TAV,Tavarekera,
TAW,Tawang,
ZVJ32,Teen Hath Naka,
ZUW6,Telagana,
ZVC4,Telangana,
TPL,Telaprolu,
TEL,Tellicherry,
TZP,Tezpur,
TJJ,Thajjar,
TLY,Thalaserry,
ZVK02,Thambanur,
TNE,Thane,
ZVJ61,Thane West,
TNH,Thangadh,
TANJ,Thanjavur,
THE,Thekaddy,
TNI,Thenali,
TN,Theni,
TEN,Thenkasi,
TSY,Thikshey,
THR,Thirpunitra,
ZVJ66,Thiruanthapuram,
TCG,Thiruchengode,
TCM,Thiruchitrambalam,
THIRU,Thirumangalam,
THJ,Thirunelveli,
TNL,Thirunelvelii,
ZVK21,Thiruppur,
THRU,Thiruthani,
ZUR0,Thiruthuraipoondi,
TVY,Thiruvaiyaru,
TRV,Thiruvallur,
TRULL,Thiruvallur.,
TVP,Thiruvananthapuram,
TM,Thiruvannamal,
TVM,Thiruvannamalai,
TVRR,Thiruvarur,
TPZ,Thodupuzha,
ZUR2,Thoothukudi,
TH,Thrissur,
TKY,Thuckklay,
THI,Thuraimanagalam,
THU,Thurayur,
TKG,Tikamgarh,
TDM,Tindivanam,
TAM,Tindivanam1,
TIN,Tinsukia,
TPP,Tiptur,
TCH,Tiruchendur,
TCE,Tiruchengode,
ZVI87,Tiruchirappalli,
TRM,Tiruchitrambalam,
TRK,Tirukoilur,
TV,Tirunelveli,
TPI,Tirupathi,
TPT,Tirupathur,
ZUV2,Tirupati,
ZVJ01,Tiruppur,
TR,Tirupur,
TRU,Tirur,
TTG,Tiruthangal,
TVLR,Tiruvallore,
ZVI82,Tiruvannamalai,
ZUR8,Tiruvottiyur,
TIRU,Tiruvur,
TLT,Titlagarh,
TI,Tittagudi,
TON,Tonk,
ZVI86,Tottumugham,
TRIU,Trichur,
TCY,Trichy,
TPY,Triprayar,
TPA,Tripunithura,
TRA,Tripura,
TRCH,Triuchirapalli,
TVN,Trivandram,
ZVJ52,Tumakuru,
TUM,Tumkur,
TUN,Tuni,
TT,Tuticorin,
UDA,Udaipur,
ZUN1,Udamsinghnagar,
UGR,Udham Singh Nagar,
UDH,Udhampur,
UDI,Udipi,
UDM,Udumalpet,
UDU,Udupi,
UNG,Udyog Nagar,
UJJ,Ujjain,
ULH,Ulhas Nagar,
ULU,Ulundurpet,
UMA,Umaria,
UMB,Umbergaon,
UMR,Umreth,
UNA,Una,
UNJ,Unjha,
UNN,Unnao,
USP,Usilam Patti,
UT,Utarsanda,
UTH,Uthangarai,
UTT,Uttam,
ZVA0,Uttar Pradesh,
ZUP3,Uttara,
ZVJ60,Uttarakhand,
UAT,Uttarsanda ,
UTR,Uttranchal,
VGR,Vadagara,
VA,Vadali,
VLR,Vadalur,
VAD,Vadodara,
VAI,Vaikom,
VLI,Vaishali,
ZVJ98,Vaishali Nagar,
VAK,Vaithiswaran Koil,
VRY,Valancherry,
VL,Valasaravakkam,
VLH,Vallabh Vidyanagar ,
VO,Vallioor,
VAL,Valsad,
VDS,Vandavasi,
VBD,Vaniyambadi,
VAN,Vanjur,
ZUU1,Vannur,
VANO,Vanoor,
VNA,Vanur,
VAP,Vapi,
ZVJ99,Varachha Surat,
VSI,Varanasi,
VAR,Varangode,
ZVJ31,Variety Square Sitabuldi,
VKL,Varkala,
VASI,Vasai,
VDG,Vasco Da Gama,
ZVK13,Vashi Navi Mumba,
ZVJ87,Vashi Navi Mumbai,
ZVJ16,Vashinavi Mumbai,
VDR,Vedaranyam,
ZUM5,Veerapuram,
VEL,Vellore,
ZVG4,Vengola,
VER,Veraval,
ZVE2,Verna,
VET,Vettimuval,
VID,Vidisha,
VJP,Vijapur,
VJH,Vijayanagharam,
ZUN4,Vijayapura,
VIJ,Vijayawada,
S,Vikarabad,
VIK,Vikrabad,
VPM,Villupuram,
VIA,Virajpet,
ZUR1,Viralimalai,
VRM,Viramgam,
VRR,Virar-Mumbai,
VIR,Virudhunagar,
VLM,Viruthachalam,
VSH,Visakhapatnam,
VPA,Visannapeta,
ZVJ53,Vishapatnam,
ZVJ93,Viskhaptnam,
VIS,Visnagar,
VIT,Vithaludyognagar,
VIZ,Vizag,
VIZI,Vizianagaram,
ZVA9,Vododara,
VUY,Vuyyuru,
ZVJ64,Vyara,
WDN,Wadhwan,
WAD,Wadi,
ZUX3,Wai,
WAI,Waidhan,
ZUI1,Walajapet,
ZUR7,Waluj,
WAR,Warangal,
WDH,Wardha,
WAS,Washim,
WAY,Wayanad,
WDA,Wda,
ZUY7,West Bangal,
WEG,West Goadavari,
ZVI76,West Godavari,
WGD,West Godavari Dt,
ZVK00,West Mumbai,
ZUI8,West Singhbhum,
WTM,West Tambaram,
WHI,Whitefield,
ZUO2,Yadadri,
YAD,Yadgir,
YAW,Yadwad,
YAM,Yammuna Nagar,
ZUV9,Yamunanagar,
YAN,Yananm,
YVT,Yavatmal,
YEL,Yelagiri,
ZUL8,Yellapur,
YER,Yercaud,
ZAH,Zaheerabad,
ZRK,Zirakpur,
ZRO,Ziro,
ZVJ26,ĀJaipur,
